id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
212,Richie Regan,183,76,University of Minnesota,22,120,32%,96,132,318,0
213,Dick Ricketts,188,92,University of Missouri,22,53,35%,70,40,150,0
214,Bob Santini,188,81,Seton Hall University,25,240,35%,133,222,565,1
215,Kenny Sears,201,97,Duquesne University,22,235,31%,195,206,608,1
216,Maurice Stokes*,196,86,Iona College,20,5,50%,2,1,11,0
217,Jack Twyman*,206,89,Santa Clara University,22,319,44%,324,114,896,1
218,Bob Armstrong,201,105,Saint Francis University,22,403,35%,447,328,1125,1
219,Gary Bergen,198,95,University of Cincinnati,21,417,42%,298,171,1038,1
220,Al Bianchi,203,99,Michigan State University,23,11,30%,12,3,28,0
221,Bob Burrow,203,95,University of Utah,24,3,27%,2,1,8,0
222,Si Green,190,83,Bowling Green State University,24,199,35%,239,106,563,1
223,Richie Guerin*,201,103,University of Kentucky,22,137,37%,211,41,404,0
224,Cliff Hagan*,188,83,Duquesne University,23,50,35%,69,47,149,0
225,Tom Heinsohn*,193,88,Iona College,24,257,37%,292,182,695,1
226,Bob Hopkins,193,95,University of Kentucky,25,134,36%,145,86,368,0
227,Phil Jordon,201,98,College of the Holy Cross,22,446,40%,343,117,1163,1
228,Slick Leonard*,203,92,Grambling State University,22,130,38%,126,22,354,0
229,Willie Naulls,208,92,Whitworth,23,18,37%,12,2,44,0
230,Jim Paxson,190,83,Indiana University,24,303,35%,241,169,792,1
231,Bill Russell*,198,102,"University of California, Los Angeles",22,293,36%,195,84,718,1
232,Ron Shavlik,198,90,University of Dayton,24,138,29%,236,86,446,0
233,Ron Sobie,208,97,University of San Francisco,22,277,43%,309,88,706,1
234,Norm Stewart,203,90,North Carolina State University,23,4,18%,5,0,10,0
235,Lou Tsioropoulos,190,83,DePaul University,22,166,38%,199,129,484,0
236,Bo Erias,196,92,University of Missouri,22,4,27%,6,2,10,0
237,Larry Friend,196,86,University of Kentucky,26,79,31%,89,33,227,0
238,Sam Jones*,190,99,Niagara University,25,59,35%,47,26,148,0
239,Jim Krebs,193,83,University of California,22,74,33%,41,47,175,0
240,Brendan McCann,193,89,North Carolina Central University,24,100,43%,84,37,260,0
241,Worthy Patterson,203,104,Southern Methodist University,22,199,38%,176,27,533,1
242,Lennie Rosenbluth,188,80,St. Bonaventure University,22,22,22%,37,54,69,0
243,Woody Sauldsberry,188,79,University of Connecticut,26,3,38%,2,2,7,0
244,Guy Sparrow,193,86,University of North Carolina,25,91,34%,84,23,235,0
245,Charlie Tyra,201,99,Texas Southern University,23,389,36%,218,58,912,1
246,Jim Walsh,198,98,University of Detroit Mercy,25,318,38%,257,69,801,1
247,Elgin Baylor*,203,104,University of Louisville,22,175,36%,224,34,500,0
248,Jerry Bird,193,88,Stanford University,27,5,19%,17,8,20,0
249,Bucky Bockhorn,196,102,Seattle University,24,605,41%,685,287,1742,1
250,Pete Brennan,198,95,University of Kentucky,23,12,38%,1,4,25,0
251,Archie Dees,193,90,University of Dayton,25,294,38%,196,206,726,1
252,Connie Dierking,198,92,University of North Carolina,22,13,30%,25,6,40,0
253,Wayne Embry*,203,92,Indiana University,22,200,36%,204,56,559,1
254,Mike Farmer,206,100,University of Cincinnati,22,105,36%,140,34,293,0
255,Dave Gambee,203,108,Miami University,21,272,39%,314,96,750,1
256,Hal Greer*,201,95,University of San Francisco,22,176,35%,99,66,435,0
257,Steve Hamilton,198,97,Oregon State University,23,397,42%,352,101,1085,1
258,Vern Hatton,188,79,Marshall University,22,308,45%,176,101,753,1
259,Andy Johnson,198,86,Morehead State University,23,109,37%,109,36,292,0
260,Jim Palmer,190,88,University of Kentucky,23,149,36%,105,70,375,0
261,Jack Parr,190,88,University of Kentucky,23,66,32%,51,30,166,0
262,Hub Reed,196,97,University of Portland,26,174,37%,191,90,463,0
263,Guy Rodgers*,203,101,University of Dayton,25,256,40%,246,65,690,1
264,Phil Rollins,206,99,Kansas State University,22,109,36%,73,51,262,0
265,Bob Anderegg,206,97,Oklahoma City University,22,136,43%,71,32,325,0
266,Dick Barnett,183,83,Temple University,23,211,39%,112,261,483,0
267,Whitey Bell,188,83,University of Louisville,25,83,36%,90,102,229,0
268,Wilt Chamberlain*,190,90,Michigan State University,22,55,39%,42,29,133,0
269,Bob Ferry,193,86,Tennessee State University,23,289,41%,180,160,706,1
270,Johnny Green,183,81,North Carolina State University,27,70,38%,43,55,168,0
271,Gene Guarilia,216,124,University of Kansas,23,1065,46%,991,168,2707,1
272,Tom Hawkins,203,104,Saint Louis University,22,144,43%,119,40,364,0
273,Bailey Howell*,196,90,Michigan State University,26,209,45%,155,52,481,0
274,Rudy LaRusso,196,99,George Washington University,22,58,38%,41,18,145,0
275,Cal Ramsey,196,95,University of Notre Dame,23,220,38%,164,54,546,1
276,Joe Ruklick,201,95,Mississippi State University,23,510,46%,422,63,1332,1
277,Al Attles,201,99,Dartmouth College,22,355,39%,357,83,975,1
278,Bob Boozer,201,99,Dartmouth College,31,553,41%,559,159,1550,1
279,Dave Budd,193,90,New York University,22,39,41%,33,9,97,0
280,Ralph Davis,206,99,Northwestern University,21,85,40%,36,24,196,0
281,Darrall Imhoff,183,79,North Carolina Agricultural and Technical State University,24,222,41%,162,174,541,1
282,Pickles Kennedy,203,97,Kansas State University,23,250,42%,247,109,666,1
283,Bob McNeill,198,92,Wake Forest University,22,156,43%,134,45,399,0
284,Jackie Moreland,193,81,University of Cincinnati,22,181,40%,52,177,396,0
285,Don Ohl,208,99,University of California,22,122,39%,96,51,293,0
286,Oscar Robertson*,180,81,Temple University,22,4,19%,6,9,12,0
287,Tom Sanders*,185,77,Saint Joseph's University,22,166,39%,126,238,437,0
288,Jerry West*,201,97,Louisiana Tech University,22,191,40%,132,52,468,0
289,Lenny Wilkens*,190,86,University of Illinois at Urbana-Champaign,24,427,39%,278,265,1054,1
290,Walt Bellamy*,196,92,University of Cincinnati,22,756,47%,794,690,2165,1
291,George Blaney,198,95,New York University,22,148,42%,100,44,363,0
292,Cleveland Buckner,188,79,West Virginia University,22,529,42%,497,333,1389,1
293,Donnie Butcher,185,81,Providence College,23,333,43%,300,212,880,1
294,Al Butler,211,102,Indiana University,22,973,52%,853,210,2495,1
295,Howie Carl,185,79,College of the Holy Cross,22,54,38%,17,45,117,0
296,Jimmy Darrow,206,95,Jackson State University,23,158,43%,133,39,399,0
297,Johnny Egan,188,90,Pikeville College,25,48,31%,69,51,138,0
298,Cleo Hill,188,90,Pikeville College,26,172,41%,194,138,475,0
299,Ron Horn,188,90,Pikeville College,27,202,40%,256,244,563,1
300,York Larese,188,90,Pikeville College,27,37,32%,66,66,116,0
301,Tom Meschery,188,90,Pikeville College,27,165,42%,190,178,447,0
302,Bevo Nordmann,188,90,Pikeville College,28,143,41%,204,122,412,0
303,Gary Phillips,188,90,Pikeville College,29,45,47%,34,30,108,0
304,Ray Scott,188,79,Niagara University,23,349,46%,182,205,827,1
305,Lee Shaffer,188,79,Niagara University,23,13,45%,6,4,31,0
306,Adrian Smith,188,79,Niagara University,23,336,46%,176,201,796,1
307,Sam Stith,188,79,Niagara University,24,297,44%,187,156,738,1
308,Horace Walker,188,79,Niagara University,25,260,42%,187,157,658,1
309,John Barnhill,188,79,Niagara University,26,24,33%,15,12,59,0
310,Zelmo Beaty*,175,72,DePaul University,23,67,33%,51,57,170,0
311,Bill Bridges,178,77,Bowling Green State University,24,3,20%,7,6,12,0
312,Len Chappell,180,81,Providence College,23,128,43%,84,102,320,0
313,Johnny Cox,180,81,Providence College,24,110,37%,69,114,273,0
314,Dave DeBusschere*,180,81,Providence College,25,334,44%,243,358,861,1
315,Terry Dischinger,180,81,Providence College,25,105,41%,68,116,267,0
316,Danny Doyle,180,81,Providence College,25,229,46%,175,242,594,1
317,Leroy Ellis,180,81,Providence College,26,258,49%,199,252,678,1
318,Jack Foley,180,81,Providence College,27,259,45%,227,273,691,1
319,Charlie Hardnett,180,81,Providence College,27,5,31%,10,14,17,0
320,John Havlicek*,180,81,Providence College,27,254,46%,217,259,674,1
321,Wayne Hightower,180,81,Providence College,28,267,43%,219,275,719,1
322,Kevin Loughery,180,81,Providence College,29,163,39%,183,134,468,0
323,Bill McGill,180,81,Providence College,30,246,41%,240,215,696,1
324,Don Nelson*,180,81,Providence College,31,215,44%,121,216,529,1
325,John Rudometkin,180,81,Providence College,32,67,38%,51,112,176,0
326,Tom Stith,180,81,Providence College,32,40,41%,28,58,105,0
327,Dan Swartz,180,81,Providence College,32,27,34%,23,54,71,0
328,Dan Tieman,180,81,Providence College,33,42,40%,32,51,110,0
329,Chico Vaughn,185,83,Winston-Salem State University,23,107,35%,137,114,320,0
330,Chet Walker*,201,99,Indiana University,23,1,8%,2,1,3,0
331,Ben Warley,201,99,Indiana University,24,27,33%,29,10,74,0
332,Jay Arnette,193,83,University of North Carolina,23,122,37%,72,94,302,0
333,Mel Gibson,193,83,University of North Carolina,23,10,48%,9,9,25,0
334,Jerry Harkness,193,83,University of North Carolina,23,112,37%,63,85,277,0
335,Art Heyman,198,97,Saint Mary's College of California,23,375,40%,262,145,966,1
336,Tom Hoover,198,97,Saint Mary's College of California,24,397,43%,313,104,1022,1
337,Gus Johnson*,198,97,Saint Mary's College of California,25,436,46%,295,149,1079,1
338,Jim King,198,97,Saint Mary's College of California,26,361,39%,370,106,1000,1
339,Don Kojis,198,97,Saint Mary's College of California,27,401,45%,293,81,1026,1
340,Jerry Lucas*,198,97,Saint Mary's College of California,28,293,42%,244,94,761,1
341,Eddie Miles,198,97,Saint Mary's College of California,29,473,47%,345,193,1190,1
342,Larry Siegfried,198,97,Saint Mary's College of California,30,462,45%,299,194,1144,1
343,Tom Thacker,198,97,Saint Mary's College of California,31,394,48%,248,157,984,1
344,Rod Thorn,198,97,Saint Mary's College of California,32,285,46%,216,108,732,1
345,Nate Thurmond*,208,102,Saint Louis University,22,51,41%,57,18,131,0
346,Jim Barnes,208,102,Saint Louis University,23,156,49%,122,47,371,0
347,Ron Bonham,208,102,Saint Louis University,23,36,45%,39,8,93,0
348,Gary Bradds,208,102,Saint Louis University,23,120,50%,83,39,278,0
349,Em Bryant,208,102,Saint Louis University,24,27,41%,19,5,63,0
350,Joe Caldwell,208,102,Saint Louis University,24,13,52%,14,1,34,0
351,Mel Counts,208,102,Saint Louis University,24,14,34%,5,4,29,0
352,Happy Hairston,190,85,University of Houston,22,110,36%,86,64,270,0
353,Les Hunter,190,85,University of Houston,23,256,40%,152,137,609,1
354,Luke Jackson,190,85,University of Houston,24,256,37%,218,203,658,1
355,Larry Jones,190,85,University of Houston,25,198,36%,199,148,516,1
356,Wali Jones,190,85,University of Houston,26,106,35%,87,113,266,0
357,Howard Komives,206,97,University of Portland,23,370,39%,388,132,995,1
358,Bud Koper,206,97,University of Portland,24,460,41%,457,191,1228,1
359,Barry Kramer,206,97,University of Portland,25,539,41%,456,244,1406,1
360,McCoy McLemore,206,97,University of Portland,26,402,37%,314,239,1024,1
361,Jeff Mullins,206,97,University of Portland,27,544,42%,435,238,1411,1
362,Cotton Nash,206,97,University of Portland,28,458,40%,366,160,1172,1
363,Willis Reed*,206,97,University of Portland,28,252,37%,206,84,660,1
364,Paul Silas,206,97,University of Portland,28,206,45%,160,76,512,1
365,John Thompson*,206,97,University of Portland,29,490,41%,447,167,1328,1
366,George Wilson,206,97,University of Portland,30,386,42%,257,133,967,1
367,Rick Barry*,206,97,University of Portland,31,257,43%,173,114,653,1
368,Jesse Branson,201,99,University of North Carolina,22,514,44%,310,99,1267,1
369,Bill Buntin,201,99,University of North Carolina,23,597,43%,375,97,1488,1
370,Barry Clemens,201,99,University of North Carolina,24,217,37%,133,36,536,1
371,Billy Cunningham*,185,81,University of Kentucky,25,202,41%,222,167,576,1
372,Keith Erickson,185,81,University of Kentucky,26,241,44%,275,141,705,1
373,John Fairchild,185,81,University of Kentucky,27,234,41%,197,145,622,1
374,Will Frazier,185,81,University of Kentucky,28,463,46%,342,240,1210,1
375,Gail Goodrich*,185,81,University of Kentucky,29,531,41%,480,256,1470,1
376,Fred Hetzel,185,81,University of Kentucky,30,502,44%,380,187,1347,1
